 workload,recordtype,operation
1000,azureactivedirectorystslogon,userloggedin
3,azureactivedirectorystslogon,userloggedin
8,azureactivedirectorystslogon,userloggedin
Agent365,AIExecuteTool,ExecuteToolBySDK
Agent365,AIExecuteTool,ExecuteToolByGateway
Agent365,AIExecuteTool,ExecuteToolByMCPServer
Agent365,AIInferenceCall,InferenceCall
Agent365,AIInvokeAgent,InvokeAgent
Agent365,A365SpanOutputs,AISpanOutput
Agent365,MosAgent,MosAgent
AIApp,AIAppInteraction,AIAppInteraction
aip,aipdiscover,access
aip,aipdiscover,discover
aip,aipfiledeleted,filedeleted
aip,aipheartbeat,heartbeat
aip,aipprotectionaction,changeprotection
aip,aipprotectionaction,newprotection
aip,aipprotectionaction,removeprotection
aip,aipsensitivitylabelaction,sensitivitylabelapplied
aip,aipsensitivitylabelaction,sensitivitylabelremoved
aip,aipsensitivitylabelaction,sensitivitylabelupdated
airinvestigation,airinvestigation,airinvestigationdata
AppGovernance,MAPGAlerts,PolicyAlertCreated
appgovernance,mapgpolicy,policycreated
appgovernance,mapgpolicy,policydeleted
appgovernance,mapgpolicy,policyupdated
as,powerbiaudit,acquirestoragesasfromexternalapplication
as,powerbiaudit,connectfromexternalapplication
as,powerbiaudit,createdatasetfromexternalapplication
as,powerbiaudit,deletedatasetfromexternalapplication
as,powerbiaudit,editdatasetfromexternalapplication
as,powerbiaudit,refreshdatasetfromexternalapplication
attacksimulation,attacksim,attacksimulationevent
AttackSimulation,AttackSimAdmin,AttackSimulationEvent
attacksimulation,usertraining,attacksimulationevent
azureactivedirectory,azureactivedirectory,accidental deletionaccidental deletion threshold.
azureactivedirectory,azureactivedirectory,add a deletion-marked app role assignment grant to group as part of link removal.
azureactivedirectory,azureactivedirectory,add a deletion-marked app role assignment grant to service principal as part of link removal.
azureactivedirectory,azureactivedirectory,add a deletion-marked app role assignment grant to user as part of link removal.
azureactivedirectory,azureactivedirectory,add a partner to cross-tenant access setting.
azureactivedirectory,azureactivedirectory,add administrative unit.
azureactivedirectory,azureactivedirectory,add an attribute set.
azureactivedirectory,azureactivedirectory,add app role assignment grant to user.
azureactivedirectory,azureactivedirectory,add app role assignment to group.
azureactivedirectory,azureactivedirectory,add app role assignment to service principal.
azureactivedirectory,azureactivedirectory,add application.
azureactivedirectory,azureactivedirectory,add contact.
azureactivedirectory,azureactivedirectory,add custom security attribute definition in an attribute set.
azureactivedirectory,azureactivedirectory,add delegated permission grant.
azureactivedirectory,azureactivedirectory,add device configuration.
azureactivedirectory,azureactivedirectory,add device.
AzureActiveDirectory,AzureActiveDirectory,Add eligible member to group.
azureactivedirectory,azureactivedirectory,add eligible member to role.
azureactivedirectory,azureactivedirectory,add eligibleroleassignement to roledefinition.
azureactivedirectory,azureactivedirectory,add group.
azureactivedirectory,azureactivedirectory,add kerberos domain.
azureactivedirectory,azureactivedirectory,add label.
azureactivedirectory,azureactivedirectory,add member to administrative unit.
azureactivedirectory,azureactivedirectory,add member to group.
AzureActiveDirectory,AzureActiveDirectory,Add member to restricted management administrative unit.
azureactivedirectory,azureactivedirectory,add member to role.
azureactivedirectory,azureactivedirectory,add oauth2permissiongrant.
azureactivedirectory,azureactivedirectory,add owner to application.
azureactivedirectory,azureactivedirectory,add owner to group.
azureactivedirectory,azureactivedirectory,add owner to policy.
azureactivedirectory,azureactivedirectory,add owner to service principal.
azureactivedirectory,azureactivedirectory,add partner to company.
azureactivedirectory,azureactivedirectory,add permission grant policy.
azureactivedirectory,azureactivedirectory,add policy to application.
azureactivedirectory,azureactivedirectory,add policy to service principal.
azureactivedirectory,azureactivedirectory,add policy.
azureactivedirectory,azureactivedirectory,add registered owner to device.
azureactivedirectory,azureactivedirectory,add registered users to device.
azureactivedirectory,azureactivedirectory,add role assignment to role definition.
azureactivedirectory,azureactivedirectory,add role definition.
azureactivedirectory,azureactivedirectory,add role from template.
azureactivedirectory,azureactivedirectory,add scoped member to role.
azureactivedirectory,azureactivedirectory,add service principal credentials.
azureactivedirectory,azureactivedirectory,add service principal.
azureactivedirectory,azureactivedirectory,add sharedemaildomain.
azureactivedirectory,azureactivedirectory,add sharedemaildomaininvitation.
azureactivedirectory,azureactivedirectory,add unverified domain.
AzureActiveDirectory,AzureActiveDirectory,Add user sponsor.
azureactivedirectory,azureactivedirectory,add user.
azureactivedirectory,azureactivedirectory,add users strong authentication phone app detail.
azureactivedirectory,azureactivedirectory,add verified domain.
AzureActiveDirectory,AzureActiveDirectory,Adding allowed assignable roles.
azureactivedirectory,azureactivedirectory,assign label to group.
azureactivedirectory,azureactivedirectory,authorization policy.
azureactivedirectory,azureactivedirectory,change user license.
azureactivedirectory,azureactivedirectory,change user password.
azureactivedirectory,azureactivedirectory,consent disabled.
azureactivedirectory,azureactivedirectory,consent enabled.
azureactivedirectory,azureactivedirectory,consent to application.
azureactivedirectory,azureactivedirectory,contextual consent to application.
azureactivedirectory,azureactivedirectory,convert federated user to managed.
azureactivedirectory,azureactivedirectory,create application password for user.
azureactivedirectory,azureactivedirectory,create company settings
azureactivedirectory,azureactivedirectory,create company
azureactivedirectory,azureactivedirectory,create group settings
azureactivedirectory,azureactivedirectory,create pendingexternaluserprofile.
azureactivedirectory,azureactivedirectory,delegated permission grant.
azureactivedirectory,azureactivedirectory,delete administrative unit.
azureactivedirectory,azureactivedirectory,delete application password for user.
azureactivedirectory,azureactivedirectory,delete application.
azureactivedirectory,azureactivedirectory,delete company allowed data location.
azureactivedirectory,azureactivedirectory,delete company settings
azureactivedirectory,azureactivedirectory,delete contact.
azureactivedirectory,azureactivedirectory,delete device configuration.
azureactivedirectory,azureactivedirectory,delete device.
azureactivedirectory,azureactivedirectory,delete group settings
azureactivedirectory,azureactivedirectory,delete group.
azureactivedirectory,azureactivedirectory,delete kerberos domain.
azureactivedirectory,azureactivedirectory,delete label.
azureactivedirectory,azureactivedirectory,delete partner specific cross-tenant access setting.
azureactivedirectory,azureactivedirectory,delete pendingexternaluserprofile.
azureactivedirectory,azureactivedirectory,delete permission grant policy.
azureactivedirectory,azureactivedirectory,delete policy.
azureactivedirectory,azureactivedirectory,delete role definition.
azureactivedirectory,azureactivedirectory,delete subscription.
azureactivedirectory,azureactivedirectory,delete user.
azureactivedirectory,azureactivedirectory,device configuration.
azureactivedirectory,azureactivedirectory,device no longer compliant.
azureactivedirectory,azureactivedirectory,device no longer managed.
azureactivedirectory,azureactivedirectory,directory deleted 
azureactivedirectory,azureactivedirectory,directory deleted permanently
azureactivedirectory,azureactivedirectory,directory deleted
azureactivedirectory,azureactivedirectory,directory scheduled for deletion (lifecycle)
azureactivedirectory,azureactivedirectory,directory scheduled for deletion (userrequest)
azureactivedirectory,azureactivedirectory,directory scheduled for deletion
azureactivedirectory,azureactivedirectory,disable account.
azureactivedirectory,azureactivedirectory,disable strong authentication.
azureactivedirectory,azureactivedirectory,eligibleroleassignement from roledefinition.
azureactivedirectory,azureactivedirectory,enable account.
azureactivedirectory,azureactivedirectory,enable strong authentication.
azureactivedirectory,azureactivedirectory,finish applying group based license to users.
azureactivedirectory,azureactivedirectory,grant contextual consent to application.
azureactivedirectory,azureactivedirectory,group to be managed by user.
azureactivedirectory,azureactivedirectory,hard delete administrative unit.
azureactivedirectory,azureactivedirectory,hard delete application.
azureactivedirectory,azureactivedirectory,hard delete externaluserprofile.
azureactivedirectory,azureactivedirectory,hard delete group.
azureactivedirectory,azureactivedirectory,hard delete pendingexternaluserprofile.
AzureActiveDirectory,AzureActiveDirectory,Hard delete service principal.
azureactivedirectory,azureactivedirectory,hard delete user.
azureactivedirectory,azureactivedirectory,kerberos domain.
azureactivedirectory,azureactivedirectory,label from group.
azureactivedirectory,azureactivedirectory,not available
azureactivedirectory,azureactivedirectory,permission grant policy.
azureactivedirectory,azureactivedirectory,promote company to partner.
azureactivedirectory,azureactivedirectory,promote sub domain to root domain.
azureactivedirectory,azureactivedirectory,remove app role assignment from group.
azureactivedirectory,azureactivedirectory,remove app role assignment from service principal.
azureactivedirectory,azureactivedirectory,remove app role assignment from user.
azureactivedirectory,azureactivedirectory,remove delegated permission grant.
AzureActiveDirectory,AzureActiveDirectory,Remove eligible member from group.
azureactivedirectory,azureactivedirectory,remove eligible member from role.
azureactivedirectory,azureactivedirectory,remove eligibleroleassignement from roledefinition.
azureactivedirectory,azureactivedirectory,remove label from group.
azureactivedirectory,azureactivedirectory,remove member from administrative unit.
azureactivedirectory,azureactivedirectory,remove member from group.
AzureActiveDirectory,AzureActiveDirectory,Remove member from restricted management administrative unit.
azureactivedirectory,azureactivedirectory,remove member from role.
azureactivedirectory,azureactivedirectory,remove oauth2permissiongrant.
azureactivedirectory,azureactivedirectory,remove owner from application.
azureactivedirectory,azureactivedirectory,remove owner from group.
azureactivedirectory,azureactivedirectory,remove owner from policy.
azureactivedirectory,azureactivedirectory,remove owner from service principal.
azureactivedirectory,azureactivedirectory,remove partner from company.
azureactivedirectory,azureactivedirectory,remove policy credentials.
